quantity,creator_id,created_at,updated_at,deleted_at,manufacture_product_id,manufacture_dept_id,task_id,order_id,receiver
603.000000,403,2022-11-07 13:00:31+00:00,2022-11-07 13:00:31+00:00,,89,2,14.0,1971,TRANG TP
603.000000,403,2022-11-07 13:00:31+00:00,2022-11-07 13:00:31+00:00,,90,2,14.0,1971,TRANG TP
380.000000,403,2022-11-07 13:00:31+00:00,2022-11-07 13:00:31+00:00,,91,2,14.0,1971,TRANG TP
925.000000,403,2022-11-07 13:00:31+00:00,2022-11-07 13:00:31+00:00,,92,2,14.0,1971,TRANG TP
200.000000,400,2022-11-07 13:19:38+00:00,2022-11-07 13:19:38+00:00,,421,3,,2070,hanh
252.000000,403,2022-11-07 14:48:25+00:00,2022-11-07 14:48:25+00:00,,51,2,7.0,2125,TRANG TP
252.000000,403,2022-11-07 14:48:25+00:00,2022-11-07 14:48:25+00:00,,52,2,7.0,2125,TRANG TP
252.000000,403,2022-11-07 14:48:25+00:00,2022-11-07 14:48:25+00:00,,53,2,7.0,2125,TRANG TP
167.000000,403,2022-11-07 14:48:26+00:00,2022-11-07 14:48:26+00:00,,54,2,7.0,2125,TRANG TP
252.000000,403,2022-11-07 14:48:26+00:00,2022-11-07 14:48:26+00:00,,55,2,7.0,2125,TRANG TP
375.000000,403,2022-11-07 14:48:26+00:00,2022-11-07 14:48:26+00:00,,56,2,7.0,2125,TRANG TP
252.000000,403,2022-11-07 14:48:26+00:00,2022-11-07 14:48:26+00:00,,57,2,7.0,2125,TRANG TP
167.000000,403,2022-11-07 14:48:26+00:00,2022-11-07 14:48:26+00:00,,58,2,7.0,2125,TRANG TP
101.000000,403,2022-11-07 14:51:21+00:00,2022-11-07 14:51:21+00:00,,369,2,104.0,2110,TRANG TP
101.000000,403,2022-11-07 14:51:21+00:00,2022-11-07 14:51:21+00:00,,370,2,104.0,2110,TRANG TP
101.000000,403,2022-11-07 14:51:21+00:00,2022-11-07 14:51:21+00:00,,371,2,104.0,2110,TRANG TP
101.000000,403,2022-11-07 14:51:21+00:00,2022-11-07 14:51:21+00:00,,372,2,104.0,2110,TRANG TP
150.000000,403,2022-11-07 14:51:21+00:00,2022-11-07 14:51:21+00:00,,373,2,104.0,2110,TRANG TP
101.000000,403,2022-11-07 14:51:21+00:00,2022-11-07 14:51:21+00:00,,374,2,104.0,2110,TRANG TP
67.000000,403,2022-11-07 14:51:21+00:00,2022-11-07 14:51:21+00:00,,375,2,104.0,2110,TRANG TP
101.000000,403,2022-11-07 14:54:01+00:00,2022-11-07 14:54:01+00:00,,17,2,3.0,2126,TRANG TP
101.000000,403,2022-11-07 14:54:01+00:00,2022-11-07 14:54:01+00:00,,18,2,3.0,2126,TRANG TP
101.000000,403,2022-11-07 14:54:01+00:00,2022-11-07 14:54:01+00:00,,19,2,3.0,2126,TRANG TP
67.000000,403,2022-11-07 14:54:01+00:00,2022-11-07 14:54:01+00:00,,20,2,3.0,2126,TRANG TP
150.000000,403,2022-11-07 14:54:01+00:00,2022-11-07 14:54:01+00:00,,21,2,3.0,2126,TRANG TP
101.000000,403,2022-11-07 14:54:01+00:00,2022-11-07 14:54:01+00:00,,22,2,3.0,2126,TRANG TP
67.000000,403,2022-11-07 14:54:01+00:00,2022-11-07 14:54:01+00:00,,23,2,3.0,2126,TRANG TP
101.000000,403,2022-11-07 14:54:01+00:00,2022-11-07 14:54:01+00:00,,24,2,3.0,2126,TRANG TP
50.000000,403,2022-11-07 14:57:03+00:00,2022-11-07 14:57:03+00:00,,250,2,62.0,2127,TRANG TP
50.000000,403,2022-11-07 14:57:03+00:00,2022-11-07 14:57:03+00:00,,251,2,62.0,2127,TRANG TP
50.000000,403,2022-11-07 14:57:03+00:00,2022-11-07 14:57:03+00:00,,252,2,62.0,2127,TRANG TP
67.000000,403,2022-11-07 14:57:03+00:00,2022-11-07 14:57:03+00:00,,253,2,62.0,2127,TRANG TP
150.000000,403,2022-11-07 14:57:03+00:00,2022-11-07 14:57:03+00:00,,254,2,62.0,2127,TRANG TP
101.000000,403,2022-11-07 14:57:03+00:00,2022-11-07 14:57:03+00:00,,255,2,62.0,2127,TRANG TP
67.000000,403,2022-11-07 14:57:03+00:00,2022-11-07 14:57:03+00:00,,256,2,62.0,2127,TRANG TP
51.000000,403,2022-11-07 14:59:14+00:00,2022-11-07 14:59:14+00:00,,250,2,62.0,2127,TRANG TP
51.000000,403,2022-11-07 14:59:14+00:00,2022-11-07 14:59:14+00:00,,251,2,62.0,2127,TRANG TP
51.000000,403,2022-11-07 14:59:14+00:00,2022-11-07 14:59:14+00:00,,252,2,62.0,2127,TRANG TP
100.000000,403,2022-11-07 15:01:26+00:00,2022-11-07 15:01:26+00:00,,356,2,100.0,2111,TRANG TP
100.000000,403,2022-11-07 15:01:26+00:00,2022-11-07 15:01:26+00:00,,357,2,100.0,2111,TRANG TP
100.000000,403,2022-11-07 15:01:26+00:00,2022-11-07 15:01:26+00:00,,358,2,100.0,2111,TRANG TP
100.000000,403,2022-11-07 15:01:26+00:00,2022-11-07 15:01:26+00:00,,359,2,100.0,2111,TRANG TP
66.000000,403,2022-11-07 15:01:26+00:00,2022-11-07 15:01:26+00:00,,360,2,100.0,2111,TRANG TP
149.000000,403,2022-11-07 15:01:26+00:00,2022-11-07 15:01:26+00:00,,361,2,100.0,2111,TRANG TP
