id,quantity,creator_id,created_at,updated_at,deleted_at,manufacture_product_id,manufacture_dept_id,task_id,order_id
3068,280.000000,400,2023-02-17 12:24:46+00:00,2023-02-17 12:24:46+00:00,,4315,3,1302,2875
3069,161.000000,400,2023-02-17 12:24:46+00:00,2023-02-17 12:24:46+00:00,,4316,3,1302,2875
3070,250.000000,400,2023-02-17 12:24:56+00:00,2023-02-17 12:24:56+00:00,,4317,3,1304,2875
3071,250.000000,400,2023-02-17 12:25:25+00:00,2023-02-17 12:25:25+00:00,,4318,3,1305,2875
3072,1500.000000,400,2023-02-17 12:28:20+00:00,2023-02-17 12:28:20+00:00,,3861,3,1134,2820
3073,1500.000000,400,2023-02-17 12:28:20+00:00,2023-02-17 12:28:20+00:00,,3862,3,1134,2820
3074,927.000000,400,2023-02-17 12:28:20+00:00,2023-02-17 12:28:20+00:00,,3863,3,1134,2820
3075,1590.000000,400,2023-02-17 12:28:20+00:00,2023-02-17 12:28:20+00:00,,3864,3,1134,2820
3076,927.000000,400,2023-02-17 12:28:21+00:00,2023-02-17 12:28:21+00:00,,3865,3,1134,2820
3079,6050.000000,400,2023-02-17 12:37:36+00:00,2023-02-17 12:37:36+00:00,,4250,3,1279,2886
3080,6050.000000,400,2023-02-17 12:37:37+00:00,2023-02-17 12:37:37+00:00,,4251,3,1279,2886
3081,3025.000000,400,2023-02-17 12:37:37+00:00,2023-02-17 12:37:37+00:00,,4252,3,1279,2886
3082,3630.000000,400,2023-02-17 12:37:37+00:00,2023-02-17 12:37:37+00:00,,4253,3,1279,2886
3083,8833.000000,400,2023-02-17 12:37:37+00:00,2023-02-17 12:37:37+00:00,,4254,3,1279,2886
3084,6400.000000,400,2023-02-17 12:37:38+00:00,2023-02-17 12:37:38+00:00,,4255,3,1279,2886
3085,3630.000000,400,2023-02-17 12:37:38+00:00,2023-02-17 12:37:38+00:00,,4256,3,1279,2886
3086,50.000000,400,2023-02-17 12:39:18+00:00,2023-02-17 12:39:18+00:00,,5337,3,1611,3025
3087,50.000000,400,2023-02-17 12:39:18+00:00,2023-02-17 12:39:18+00:00,,5338,3,1611,3025
3088,33.000000,400,2023-02-17 12:39:19+00:00,2023-02-17 12:39:19+00:00,,5339,3,1611,3025
3089,74.000000,400,2023-02-17 12:39:19+00:00,2023-02-17 12:39:19+00:00,,5340,3,1611,3025
3090,50.000000,400,2023-02-17 12:39:19+00:00,2023-02-17 12:39:19+00:00,,5341,3,1611,3025
3091,33.000000,400,2023-02-17 12:39:19+00:00,2023-02-17 12:39:19+00:00,,5342,3,1611,3025
3092,256.000000,400,2023-02-17 12:40:46+00:00,2023-02-17 12:40:46+00:00,,3940,3,1161,2821
3093,201.000000,400,2023-02-17 12:41:38+00:00,2023-02-17 12:41:38+00:00,,4039,3,1192,2830
3095,100.000000,400,2023-02-17 12:44:19+00:00,2023-02-17 12:44:19+00:00,,5108,3,1534,2994
3096,110.000000,400,2023-02-17 12:44:19+00:00,2023-02-17 12:44:19+00:00,,5109,3,1534,2994
3097,101.000000,400,2023-02-17 12:45:07+00:00,2023-02-17 12:45:07+00:00,,4392,3,1328,2898
3098,101.000000,400,2023-02-17 12:45:18+00:00,2023-02-17 12:45:18+00:00,,4393,3,1329,2898
3099,101.000000,400,2023-02-17 12:45:18+00:00,2023-02-17 12:45:18+00:00,,4394,3,1329,2898
3100,105.000000,400,2023-02-17 12:47:15+00:00,2023-02-17 12:47:15+00:00,,4347,3,1316,2889
3101,101.000000,400,2023-02-17 12:51:18+00:00,2023-02-17 12:51:18+00:00,,4336,3,1312,2890
3102,113.000000,400,2023-02-18 08:39:25+00:00,2023-02-18 08:39:25+00:00,,5122,3,1539,2995
3103,114.000000,400,2023-02-18 08:39:25+00:00,2023-02-18 08:39:25+00:00,,5123,3,1539,2995
3104,108.000000,400,2023-02-18 08:39:26+00:00,2023-02-18 08:39:26+00:00,,5124,3,1539,2995
3105,111.000000,400,2023-02-18 08:39:26+00:00,2023-02-18 08:39:26+00:00,,5125,3,1539,2995
3106,100.000000,400,2023-02-18 08:43:20+00:00,2023-02-18 08:43:20+00:00,,3892,3,1145,2815
3107,100.000000,400,2023-02-18 08:43:20+00:00,2023-02-18 08:43:20+00:00,,3893,3,1145,2815
3108,3002.000000,400,2023-02-18 08:44:52+00:00,2023-02-22 09:42:30+00:00,,3999,3,1177,2850
3109,251.000000,400,2023-02-18 08:46:44+00:00,2023-02-18 08:46:44+00:00,,4268,3,1285,2870
3110,250.000000,400,2023-02-18 10:41:47+00:00,2023-02-18 10:41:47+00:00,,4328,3,1309,2876
3113,57.000000,400,2023-02-20 08:32:07+00:00,2023-02-20 08:32:07+00:00,,5345,3,1614,3025
3114,61.000000,400,2023-02-20 08:32:07+00:00,2023-02-20 08:32:07+00:00,,5346,3,1614,3025
3115,213.000000,400,2023-02-20 08:35:54+00:00,2023-02-20 08:35:54+00:00,,4156,3,1240,2844
3116,212.000000,400,2023-02-20 08:35:54+00:00,2023-02-20 08:35:54+00:00,,4157,3,1240,2844
3117,128.000000,400,2023-02-20 08:35:54+00:00,2023-02-20 08:35:54+00:00,,4158,3,1240,2844
3118,200.000000,400,2023-02-20 08:35:54+00:00,2023-02-20 08:35:54+00:00,,4159,3,1240,2844
3119,128.000000,400,2023-02-20 08:35:54+00:00,2023-02-20 08:35:54+00:00,,4160,3,1240,2844
3120,438.000000,400,2023-02-20 08:38:24+00:00,2023-02-20 08:38:24+00:00,,3850,3,1131,2818
3121,432.000000,400,2023-02-20 08:38:24+00:00,2023-02-20 08:38:24+00:00,,3851,3,1131,2818
3122,252.000000,400,2023-02-20 08:38:25+00:00,2023-02-20 08:38:25+00:00,,3852,3,1131,2818
3123,400.000000,400,2023-02-20 08:38:25+00:00,2023-02-20 08:38:25+00:00,,3853,3,1131,2818
3124,252.000000,400,2023-02-20 08:38:25+00:00,2023-02-20 08:38:25+00:00,,3854,3,1131,2818
3125,213.000000,400,2023-02-20 08:40:37+00:00,2023-02-20 08:40:37+00:00,,4187,3,1253,2840
3126,211.000000,400,2023-02-20 08:40:38+00:00,2023-02-20 08:40:38+00:00,,4188,3,1253,2840
3127,128.000000,400,2023-02-20 08:40:38+00:00,2023-02-20 08:40:38+00:00,,4189,3,1253,2840
3128,200.000000,400,2023-02-20 08:40:38+00:00,2023-02-20 08:40:38+00:00,,4190,3,1253,2840
3129,128.000000,400,2023-02-20 08:40:38+00:00,2023-02-20 08:40:38+00:00,,4191,3,1253,2840
3130,213.000000,400,2023-02-20 08:41:53+00:00,2023-02-20 08:41:53+00:00,,4147,3,1236,2845
3131,209.000000,400,2023-02-20 08:41:54+00:00,2023-02-20 08:41:54+00:00,,4148,3,1236,2845
3132,128.000000,400,2023-02-20 08:41:55+00:00,2023-02-20 08:41:55+00:00,,4149,3,1236,2845
3133,210.000000,400,2023-02-20 08:41:55+00:00,2023-02-20 08:41:55+00:00,,4150,3,1236,2845
3134,128.000000,400,2023-02-20 08:41:55+00:00,2023-02-20 08:41:55+00:00,,4151,3,1236,2845
