product_id,product_code,product_unit_id,purchase_order_quantity,purchase_order_id,is_complete,amount,vnd_exchange_rate,vnd_exchange
839,1-KATE00-GRT-00-AK,16172,5.000000,170,1,28000.000000,0.0,0.0
839,1-KATE00-GRT-00-AK,16172,10.000000,862,1,28000.000000,0.0,0.0
839,1-KATE00-GRT-00-AK,16172,15.000000,1114,0,28000.000000,0.0,0.0
842,1-KATE00-IVO-00-AK,12802,20.000000,682,1,28000.000000,0.0,0.0
842,1-KATE00-IVO-00-AK,842,10.000000,281,1,28000.000000,0.0,0.0
842,1-KATE00-IVO-00-AK,842,20.000000,338,1,28000.000000,0.0,0.0
842,1-KATE00-IVO-00-AK,842,10.000000,862,1,28000.000000,0.0,0.0
842,1-KATE00-IVO-00-AK,842,25.000000,185,1,28000.000000,0.0,0.0
843,1-KATE00-JMG-00-AK,843,10.000000,906,1,28000.000000,0.0,0.0
843,1-KATE00-JMG-00-AK,843,15.000000,1104,1,28000.000000,0.0,0.0
846,1-KATE00-LRY-00-AK,846,15.000000,1239,1,28000.000000,0.0,0.0
854,1-KATE00-MAZ-00-AK,16171,7.000000,154,1,28000.000000,0.0,0.0
854,1-KATE00-MAZ-00-AK,16171,20.000000,1114,0,28000.000000,0.0,0.0
856,1-KATE00-MIN-00-AK,11044,15.000000,1630,1,28000.000000,0.0,0.0
856,1-KATE00-MIN-00-AK,11044,10.000000,55,1,28000.000000,0.0,0.0
856,1-KATE00-MIN-00-AK,11044,5.000000,7,0,28000.000000,0.0,0.0
868,1-KATE00-OSB-00-HV,12827,1000.000000,550,1,1.100000,22800.0,25080.0
870,1-KATE00-ONG-00-AK,9861,10.000000,55,1,28000.000000,0.0,0.0
878,1-KATE00-TTP-00-AK,16629,10.000000,403,1,28000.000000,0.0,0.0
879,1-KATE00-RED-00-AK,18953,15.000000,833,1,28000.000000,0.0,0.0
879,1-KATE00-RED-00-AK,18953,100.000000,170,1,28000.000000,0.0,0.0
885,1-KATE00-ROR-00-AK,885,10.000000,914,1,28000.000000,0.0,0.0
886,1-KATE00-SGA-00-AK,886,40.000000,480,1,28000.000000,0.0,0.0
886,1-KATE00-SGA-00-AK,886,5.000000,7,0,28000.000000,0.0,0.0
888,1-KATE00-SBL-00-AK,17203,20.000000,1770,1,28000.000000,0.0,0.0
888,1-KATE00-SBL-00-AK,17203,20.000000,982,1,28000.000000,0.0,0.0
