quantity,creator_id,created_at,updated_at,deleted_at,manufacture_product_id,manufacture_dept_id,task_id,order_id
18.000000,400,2022-11-22 15:43:17+00:00,2022-11-22 15:43:17+00:00,,1169,3,366,2155
20.000000,400,2022-11-22 15:45:18+00:00,2022-11-22 15:45:18+00:00,,1192,3,372,2138
54.000000,400,2022-11-22 15:45:18+00:00,2022-11-22 15:45:18+00:00,,1193,3,372,2138
19.000000,400,2022-11-23 07:32:45+00:00,2022-11-23 07:32:45+00:00,,1156,3,364,2156
44.000000,400,2022-11-23 07:32:46+00:00,2022-11-23 07:32:46+00:00,,1157,3,364,2156
117.000000,400,2022-11-23 08:36:22+00:00,2022-11-23 08:36:22+00:00,,721,3,218,2200
115.000000,400,2022-11-23 08:36:22+00:00,2022-11-23 08:36:22+00:00,,722,3,218,2200
316.000000,400,2022-11-23 08:41:28+00:00,2022-11-23 08:41:28+00:00,,630,3,186,2164
319.000000,400,2022-11-23 08:41:28+00:00,2022-11-23 08:41:28+00:00,,631,3,186,2164
128.000000,400,2022-11-23 08:48:37+00:00,2022-11-23 08:48:37+00:00,,1091,3,343,2246
289.000000,400,2022-11-23 08:48:37+00:00,2022-11-23 08:48:37+00:00,,1092,3,343,2246
79.000000,400,2022-11-23 08:50:18+00:00,2022-11-23 08:50:18+00:00,,1273,3,399,2247
120.000000,400,2022-11-23 08:50:18+00:00,2022-11-23 08:50:18+00:00,,1275,3,399,2247
79.000000,400,2022-11-23 08:50:18+00:00,2022-11-23 08:50:18+00:00,,1276,3,399,2247
128.000000,400,2022-11-23 08:51:35+00:00,2022-11-23 08:51:35+00:00,,1082,3,340,2245
289.000000,400,2022-11-23 08:51:35+00:00,2022-11-23 08:51:35+00:00,,1083,3,340,2245
100.000000,400,2022-11-23 08:52:50+00:00,2022-11-23 08:52:50+00:00,,1218,3,380,2240
149.000000,400,2022-11-23 08:52:50+00:00,2022-11-23 08:52:50+00:00,,1219,3,380,2240
100.000000,400,2022-11-23 09:03:35+00:00,2022-11-23 09:03:35+00:00,,718,3,217,2200
128.000000,400,2022-11-23 09:08:41+00:00,2022-11-23 09:08:41+00:00,,857,3,261,2227
50.000000,400,2022-11-23 09:10:26+00:00,2022-11-23 09:10:26+00:00,,611,3,179,2139
50.000000,400,2022-11-23 09:10:26+00:00,2022-11-23 09:10:26+00:00,,612,3,179,2139
100.000000,400,2022-11-23 09:11:47+00:00,2022-11-23 09:11:47+00:00,,446,3,130,2149
453.000000,400,2022-11-23 09:23:20+00:00,2022-11-23 09:23:20+00:00,,1406,3,431,1347
291.000000,400,2022-11-23 09:26:57+00:00,2022-11-23 09:26:57+00:00,,1403,3,430,1347
495.000000,400,2022-11-23 09:26:57+00:00,2022-11-23 09:26:57+00:00,,1404,3,430,1347
1110.000000,400,2022-11-23 09:48:44+00:00,2022-11-23 09:48:44+00:00,,940,3,294,2231
442.000000,400,2022-11-23 10:00:46+00:00,2022-11-23 10:00:46+00:00,,1428,3,438,1352
530.000000,400,2022-11-23 10:00:46+00:00,2022-11-23 10:00:46+00:00,,1430,3,438,1352
1556.000000,400,2022-11-23 10:00:46+00:00,2022-11-23 10:00:46+00:00,,1431,3,438,1352
803.000000,400,2022-11-23 10:01:26+00:00,2022-11-23 10:01:26+00:00,,1433,3,439,1352
113.000000,400,2022-11-23 10:49:02+00:00,2022-11-23 10:49:02+00:00,,929,3,290,2222
280.000000,400,2022-11-23 10:52:15+00:00,2022-11-23 10:52:15+00:00,,986,3,311,2253
259.000000,400,2022-11-23 10:52:15+00:00,2022-11-23 10:52:15+00:00,,987,3,311,2253
295.000000,400,2022-11-23 10:52:15+00:00,2022-11-23 10:52:15+00:00,,990,3,311,2253
256.000000,400,2022-11-23 10:52:15+00:00,2022-11-23 10:52:15+00:00,,991,3,311,2253
164.000000,400,2022-11-23 10:52:15+00:00,2022-11-23 10:52:15+00:00,,992,3,311,2253
285.000000,400,2022-11-23 10:58:23+00:00,2022-11-23 10:58:23+00:00,,875,3,268,2225
274.000000,400,2022-11-23 10:58:23+00:00,2022-11-23 10:58:23+00:00,,876,3,268,2225
324.000000,400,2022-11-23 10:58:24+00:00,2022-11-23 10:58:24+00:00,,877,3,268,2225
298.000000,400,2022-11-23 11:07:28+00:00,2022-11-23 11:07:28+00:00,,1235,3,387,2266
269.000000,400,2022-11-23 11:07:28+00:00,2022-11-23 11:07:28+00:00,,1236,3,387,2266
268.000000,400,2022-11-23 11:07:28+00:00,2022-11-23 11:07:28+00:00,,1239,3,387,2266
164.000000,400,2022-11-23 11:07:28+00:00,2022-11-23 11:07:28+00:00,,1240,3,387,2266
256.000000,400,2022-11-23 11:07:28+00:00,2022-11-23 11:07:28+00:00,,1241,3,387,2266
261.000000,400,2022-11-23 11:09:54+00:00,2022-11-23 11:09:54+00:00,,1069,3,336,2252
268.000000,400,2022-11-23 11:09:54+00:00,2022-11-23 11:09:54+00:00,,1070,3,336,2252
268.000000,400,2022-11-23 11:09:54+00:00,2022-11-23 11:09:54+00:00,,1073,3,336,2252
256.000000,400,2022-11-23 11:09:54+00:00,2022-11-23 11:09:54+00:00,,1074,3,336,2252
164.000000,400,2022-11-23 11:09:54+00:00,2022-11-23 11:09:54+00:00,,1075,3,336,2252
311.000000,400,2022-11-23 11:12:00+00:00,2022-11-23 11:12:00+00:00,,1246,3,391,2267
261.000000,400,2022-11-23 11:12:00+00:00,2022-11-23 11:12:00+00:00,,1247,3,391,2267
268.000000,400,2022-11-23 11:12:00+00:00,2022-11-23 11:12:00+00:00,,1250,3,391,2267
256.000000,400,2022-11-23 11:12:00+00:00,2022-11-23 11:12:00+00:00,,1251,3,391,2267
164.000000,400,2022-11-23 11:12:00+00:00,2022-11-23 11:12:00+00:00,,1252,3,391,2267
727.000000,400,2022-11-23 11:19:20+00:00,2022-11-23 11:19:20+00:00,,1478,3,446,1354
749.000000,400,2022-11-23 11:19:20+00:00,2022-11-23 11:19:20+00:00,,1479,3,446,1354
770.000000,400,2022-11-23 11:19:20+00:00,2022-11-23 11:19:20+00:00,,1480,3,446,1354
443.000000,400,2022-11-23 11:19:20+00:00,2022-11-23 11:19:20+00:00,,1486,3,446,1354
5710.000000,400,2022-11-23 11:27:55+00:00,2022-11-23 11:27:55+00:00,,726,3,222,2172
5235.000000,400,2022-11-23 11:27:55+00:00,2022-11-23 11:27:55+00:00,,727,3,222,2172
5235.000000,400,2022-11-23 11:27:55+00:00,2022-11-23 11:27:55+00:00,,728,3,222,2172
3630.000000,400,2022-11-23 11:27:55+00:00,2022-11-23 11:27:55+00:00,,732,3,222,2172
254.000000,400,2022-11-23 12:19:00+00:00,2022-11-23 12:19:00+00:00,,779,3,241,2187
209.000000,400,2022-11-23 12:19:00+00:00,2022-11-23 12:19:00+00:00,,780,3,241,2187
240.000000,400,2022-11-23 12:19:00+00:00,2022-11-23 12:19:00+00:00,,783,3,241,2187
132.000000,400,2022-11-23 12:19:00+00:00,2022-11-23 12:19:00+00:00,,784,3,241,2187
164.000000,400,2022-11-23 12:21:16+00:00,2022-11-23 12:21:16+00:00,,1013,3,319,2242
150.000000,400,2022-11-23 12:21:16+00:00,2022-11-23 12:21:16+00:00,,1016,3,319,2242
99.000000,400,2022-11-23 12:21:16+00:00,2022-11-23 12:21:16+00:00,,1017,3,319,2242
206.000000,400,2022-11-23 12:57:23+00:00,2022-11-23 12:57:23+00:00,,778,3,241,2187
703.000000,400,2022-11-23 15:26:09+00:00,2022-11-23 15:26:09+00:00,,1483,3,446,1354
6000.000000,400,2022-11-23 15:28:12+00:00,2022-11-23 15:28:12+00:00,,1128,3,356,2169
3600.000000,400,2022-11-23 15:28:12+00:00,2022-11-23 15:28:12+00:00,,1131,3,356,2169
206.000000,400,2022-11-23 15:31:06+00:00,2022-11-23 15:31:06+00:00,,785,3,242,2187
720.000000,400,2022-11-23 15:33:30+00:00,2022-11-23 15:33:30+00:00,,2205,3,76,2117
644.000000,400,2022-11-23 15:33:30+00:00,2022-11-23 15:33:30+00:00,,2206,3,76,2117
720.000000,400,2022-11-23 15:33:30+00:00,2022-11-23 15:33:30+00:00,,2207,3,76,2117
410.000000,400,2022-11-23 15:34:45+00:00,2022-11-23 15:34:45+00:00,,306,3,79,2118
435.000000,400,2022-11-23 15:34:45+00:00,2022-11-23 15:34:45+00:00,,307,3,79,2118
500.000000,400,2022-11-23 15:34:45+00:00,2022-11-23 15:34:45+00:00,,308,3,79,2118
152.000000,400,2022-11-23 15:41:50+00:00,2022-11-23 15:41:50+00:00,,837,3,257,2226
160.000000,400,2022-11-23 15:41:50+00:00,2022-11-23 15:41:50+00:00,,838,3,257,2226
164.000000,400,2022-11-24 08:29:39+00:00,2022-11-24 08:29:39+00:00,,1071,3,336,2252
400.000000,400,2022-11-24 08:29:39+00:00,2022-11-24 08:29:39+00:00,,1072,3,336,2252
164.000000,400,2022-11-24 08:30:55+00:00,2022-11-24 08:30:55+00:00,,1060,3,332,2251
400.000000,400,2022-11-24 08:30:55+00:00,2022-11-24 08:30:55+00:00,,1061,3,332,2251
164.000000,400,2022-11-24 08:31:54+00:00,2022-11-24 08:31:54+00:00,,955,3,303,2250
400.000000,400,2022-11-24 08:31:54+00:00,2022-11-24 08:31:54+00:00,,956,3,303,2250
998.000000,400,2022-11-24 12:29:16+00:00,2022-11-24 12:29:16+00:00,,1410,3,433,1351
